temperature,humidity,motion,power,hour,temp_diff,power_diff,temp_deviation,anomaly_injected
23.49,34.17,,,19,0.0,0.0,0.0,0
45.23,54.95,0.0,489.32,19,21.74,0.0,10.869999999999997,0
20.11,66.75,0.0,407.93,19,-25.119999999999997,-81.38999999999999,-9.499999999999996,0
19.17,60.97,0.0,70.15,19,-0.9399999999999977,-337.78,-7.829999999999998,0
20.46,64.67,0.0,443.74,19,1.2899999999999991,373.59000000000003,-5.231999999999996,0
19.71,60.68,1.0,350.3,19,-0.75,-93.44,-5.225999999999999,1
19.71,43.06,0.0,473.34,19,0.0,123.03999999999996,-0.12199999999999989,0
25.01,65.67,0.0,1571.06,19,5.300000000000001,1097.72,4.198,1
25.78,60.41,1.0,1651.17,19,0.7699999999999996,80.11000000000013,3.646000000000001,1
18.62,49.66,0.0,499.82,19,-7.16,-1151.3500000000001,-3.146000000000001,0
18.88,30.96,1.0,60.29,19,0.259999999999998,-439.53,-2.7200000000000024,0
26.49,48.02,0.0,321.19,19,7.609999999999999,260.9,3.5340000000000025,0
45.08,54.77,0.0,87.05,19,18.59,-234.14,18.11,0
18.87,48.76,0.0,209.91,19,-26.209999999999997,122.86,-6.718,0
27.96,53.49,1.0,80.59,19,9.09,-129.32,0.5040000000000013,1
26.41,51.34,0.0,131.41,19,-1.5500000000000007,50.81999999999999,-2.5519999999999996,0
20.81,54.77,0.0,1819.59,19,-5.600000000000001,1688.1799999999998,-7.016000000000002,1
26.75,90.8,0.0,380.79,19,5.940000000000001,-1438.8,2.59,1
21.63,48.62,1.0,257.97,19,-5.120000000000001,-122.82,-3.0820000000000007,0
18.83,60.68,1.0,157.4,19,-2.8000000000000007,-100.57000000000002,-4.055999999999997,0
18.83,60.68,0.0,157.4,19,0.0,0.0,-2.539999999999999,0
18.83,60.68,0.0,283.5,19,0.0,126.1,-2.1439999999999984,0
21.3,56.06,0.0,214.17,19,2.4700000000000024,-69.33000000000001,1.416000000000004,0
21.3,56.06,1.0,115.4,19,0.0,-98.76999999999998,1.4820000000000029,0
21.14,44.95,1.0,489.97,19,-0.16000000000000014,374.57000000000005,0.860000000000003,0
18.86,46.72,0.0,472.83,19,-2.280000000000001,-17.140000000000043,-1.4259999999999984,0
26.48,36.18,0.0,205.76,19,7.620000000000001,-267.07,4.6640000000000015,0
22.32,44.45,0.0,476.42,19,-4.16,270.66,0.3000000000000007,0
20.28,32.12,0.0,385.93,19,-2.039999999999999,-90.49000000000001,-1.5359999999999943,0
23.55,50.81,1.0,301.11,19,3.2699999999999996,-84.82,1.251999999999999,0
24.98,40.16,1.0,288.18,19,1.4299999999999997,-12.930000000000007,1.458000000000002,1
18.0,55.62,0.0,96.4,19,-6.98,-191.78,-3.8260000000000005,0
20.21,63.69,0.0,487.41,19,2.210000000000001,391.01,-1.193999999999999,0
47.72,32.83,0.0,407.59,19,27.509999999999998,-79.82000000000005,20.828000000000003,0
24.19,56.26,0.0,166.76,19,-23.529999999999998,-240.82999999999998,-2.8299999999999983,0
19.41,51.8,0.0,84.77,19,-4.780000000000001,-81.99,-6.495999999999999,0
23.05,46.92,0.0,291.7,19,3.6400000000000006,206.93,-3.865999999999996,0
55.49,69.44,0.0,454.51,19,32.44,162.81,21.518,1
57.68,62.65,0.0,96.67,19,2.1899999999999977,-357.84,21.716,1
18.16,36.32,0.0,139.85,19,-39.519999999999996,43.17999999999999,-16.597999999999995,0
26.43,48.88,0.0,155.29,19,8.27,15.439999999999998,-9.732,0
26.43,48.88,0.0,351.14,19,0.0,195.85,-10.408000000000001,0
26.43,48.88,0.0,330.67,19,0.0,-20.46999999999997,-4.596,0
18.02,86.58,0.0,227.6,19,-8.41,-103.07000000000002,-5.074000000000002,1
27.97,50.87,1.0,88.01,19,9.95,-139.58999999999997,2.913999999999998,0
18.51,53.29,0.0,333.53,19,-9.459999999999997,245.51999999999998,-4.962,0
20.45,61.89,0.0,326.12,19,1.9399999999999977,-7.409999999999968,-1.8260000000000005,0
23.3,66.24,0.0,159.71,19,2.8500000000000014,-166.41,1.6500000000000021,0
22.31,65.07,0.0,296.12,19,-0.990000000000002,136.41,-0.1980000000000004,0
22.31,65.07,0.0,444.69,19,0.0,148.57,0.934000000000001,0
25.24,37.6,0.0,300.8,19,2.9299999999999997,-143.89,2.517999999999997,0
50.28,51.2,0.0,339.52,19,25.040000000000003,38.71999999999997,21.592000000000002,0
26.44,68.31,0.0,168.46,19,-23.84,-171.05999999999997,-2.8760000000000012,0
18.33,55.66,0.0,413.13,19,-8.110000000000003,244.67,-10.190000000000001,0
22.93,34.45,1.0,229.15,19,4.600000000000001,-183.98,-5.713999999999999,0
24.96,69.94,0.0,183.79,19,2.030000000000001,-45.360000000000014,-3.628,0
24.96,69.94,1.0,183.79,19,0.0,0.0,1.436,0
24.96,69.94,1.0,170.29,19,0.0,-13.5,1.7319999999999993,0
27.16,60.1,0.0,377.76,19,2.1999999999999993,207.47,2.1660000000000004,0
22.41,34.0,0.0,117.48,19,-4.75,-260.28,-2.4800000000000004,0
40.35,48.68,1.0,127.15,19,17.94,9.670000000000002,12.382000000000001,0
24.96,61.16,0.0,489.61,19,-15.39,362.46000000000004,-3.007999999999999,0
19.84,55.54,0.0,489.32,19,-5.120000000000001,-0.29000000000002046,-7.103999999999999,0
48.83,36.02,0.0,2624.04,19,28.99,2134.72,17.552,1
27.29,58.5,0.0,425.42,19,-21.54,-2198.62,-4.964000000000006,0
27.29,58.5,0.0,186.72,19,0.0,-238.70000000000002,-2.3519999999999968,0
27.61,51.41,0.0,113.34,19,0.3200000000000003,-73.38,-2.5619999999999976,0
20.35,60.63,0.0,327.18,19,-7.259999999999998,213.84,-9.923999999999992,0
21.26,38.96,0.0,101.65,19,0.9100000000000001,-225.53,-3.4999999999999964,0
21.26,38.96,0.0,2891.47,19,0.0,2789.8199999999997,-2.293999999999997,1
18.43,64.31,0.0,370.39,19,-2.830000000000002,-2521.08,-3.3520000000000003,0
22.32,59.76,0.0,308.71,19,3.8900000000000006,-61.68000000000001,1.596,0
22.32,42.17,0.0,308.71,19,0.0,0.0,1.2019999999999982,0
22.32,42.17,0.0,355.81,19,0.0,47.10000000000002,0.9899999999999984,0
27.95,49.8,0.0,446.08,19,5.629999999999999,90.26999999999998,5.282,0
27.66,68.57,0.0,280.68,19,-0.28999999999999915,-165.39999999999998,3.146000000000001,0
26.3,56.87,0.0,106.18,19,-1.3599999999999994,-174.5,0.990000000000002,0
22.23,47.46,0.0,229.46,19,-4.07,123.28,-3.0619999999999976,0
20.2,65.75,0.0,465.06,19,-2.030000000000001,235.6,-4.668000000000003,0
20.2,51.05,1.0,354.55,19,0.0,-110.50999999999999,-3.118000000000002,0
20.2,51.05,1.0,255.08,19,0.0,-99.47,-1.6260000000000012,0
26.55,59.65,1.0,157.24,19,6.350000000000001,-97.84,4.674000000000003,1
18.82,33.2,0.0,121.01,19,-7.73,-36.230000000000004,-2.3739999999999988,0
27.91,33.42,1.0,70.77,19,9.09,-50.24000000000001,5.174000000000003,0
27.91,33.42,0.0,213.5,19,0.0,142.73000000000002,3.6320000000000014,0
21.13,63.12,0.0,296.89,19,-6.780000000000001,83.38999999999999,-3.334000000000003,0
23.19,42.17,0.0,200.06,19,2.0600000000000023,-96.82999999999998,-0.6020000000000003,0
18.83,68.5,0.0,497.51,19,-4.360000000000003,297.45,-4.964000000000002,0
18.93,69.38,0.0,331.14,19,0.10000000000000142,-166.37,-3.0680000000000014,0
24.98,54.32,0.0,161.74,19,6.050000000000001,-169.39999999999998,3.5680000000000014,0
20.73,57.54,0.0,432.56,19,-4.25,270.82,-0.6020000000000003,0
26.68,33.34,0.0,423.48,19,5.949999999999999,-9.079999999999984,4.649999999999999,0
26.68,33.34,0.0,320.55,19,0.0,-102.93,3.0799999999999983,0
23.83,46.99,0.0,1741.16,19,-2.8500000000000014,1420.6100000000001,-0.75,1
23.6,67.33,0.0,158.48,19,-0.22999999999999687,-1582.68,-0.7040000000000006,0
22.02,46.07,0.0,1925.58,19,-1.5800000000000018,1767.1,-2.5420000000000016,1
25.42,58.84,1.0,169.13,19,3.400000000000002,-1756.4499999999998,1.110000000000003,0
22.73,58.03,0.0,470.42,19,-2.6900000000000013,301.29,-0.7899999999999991,0
23.24,50.81,0.0,279.79,19,0.509999999999998,-190.63,-0.1620000000000026,0
18.0,46.73,0.0,475.86,19,-5.239999999999998,196.07,-4.282,0
24.29,69.26,0.0,85.84,19,6.289999999999999,-390.02,1.554000000000002,0
22.84,41.44,0.0,92.95,19,-1.4499999999999993,7.109999999999999,0.620000000000001,0
20.03,34.16,0.0,414.52,19,-2.8099999999999987,321.57,-1.6499999999999986,0
